Год,Этап,Команда,Противник,Общее количество очков,Общее количество подач,Ошибки при подаче,ЭЙС,Общее количество приемов,Ошибки при приемах,Эффективность приемов,Общее количество атак,Ошибки на атаках,Очки на атаке,Эффективность атак,Очки на блок,Количество выигранных сетов,Количество проигрышных сетов,Победитель,Проигравший
2023,Play Off,ЗЕНИТ,ЛОКОМОТИВ,73,108,16,6,82,10,18%,117,4,56,48%,11,2,3,ЛОКОМОТИВ,ЗЕНИТ
2023,Play Off,ЛОКОМОТИВ,ЗЕНИТ,82,104,22,10,92,6,11%,123,11,62,50%,10,3,2,ЛОКОМОТИВ,ЗЕНИТ
2023,Play Off,ЗЕНИТ-КАЗАНЬ,ДИНАМО,46,73,13,5,41,2,12%,65,2,36,55%,5,3,0,ЗЕНИТ-КАЗАНЬ,ДИНАМО
2023,Play Off,ЗЕНИТ-КАЗАНЬ,ДИНАМО,66,92,13,10,64,9,16%,80,3,47,59%,9,3,1,ЗЕНИТ-КАЗАНЬ,ДИНАМО
2023,Play Off,ДИНАМО,ЗЕНИТ-КАЗАНЬ,85,109,28,16,99,12,13%,124,9,63,51%,6,2,3,ЗЕНИТ-КАЗАНЬ,ДИНАМО
2023,Play Off,ДИНАМО,ЗЕНИТ-КАЗАНЬ,39,58,17,2,60,5,33%,75,10,33,44%,4,0,3,ЗЕНИТ-КАЗАНЬ,ДИНАМО
2023,Play Off,ДИНАМО,ЗЕНИТ-КАЗАНЬ,62,80,16,9,79,10,23%,101,11,48,48%,5,1,3,ЗЕНИТ-КАЗАНЬ,ДИНАМО
2023,Play Off,ЗЕНИТ-КАЗАНЬ,ДИНАМО,77,115,16,12,81,16,5%,93,7,50,54%,15,3,2,ЗЕНИТ-КАЗАНЬ,ДИНАМО
2023,Play Out,НЕФТЯНИК,СТРОИТЕЛЬ,54,74,12,8,54,4,30%,67,3,29,43%,17,3,0,НЕФТЯНИК,СТРОИТЕЛЬ
2023,Play Out,САМОТЛОР,НОВА,48,76,13,8,43,1,42%,65,4,37,57%,3,3,0,САМОТЛОР,НОВА
2023,Play Out,СТРОИТЕЛЬ,НОВА,48,63,9,0,69,2,20%,97,13,42,43%,6,0,3,СТРОИТЕЛЬ,НОВА
2023,Play Out,НЕФТЯНИК,САМОТЛОР,50,85,15,2,67,6,13%,91,16,36,40%,12,1,3,САМОТЛОР,НЕФТЯНИК
2023,Play Out,НОВА,НЕФТЯНИК,63,87,19,4,82,7,22%,112,6,54,48%,5,1,3,НЕФТЯНИК,НОВА
2023,Play Out,СТРОИТЕЛЬ,САМОТЛОР,38,58,9,1,59,7,10%,68,9,30,44%,7,0,3,САМОТЛОР,СТРОИТЕЛЬ
2023,Play Out,СТРОИТЕЛЬ,НЕФТЯНИК,47,64,10,4,62,8,29%,82,10,36,44%,7,0,3,НЕФТЯНИК,СТРОИТЕЛЬ
2023,Play Out,НОВА,САМОТЛОР,40,58,15,1,62,8,23%,71,10,34,48%,5,0,3,САМОТЛОР,НОВА
2023,Play Out,НОВА,СТРОИТЕЛЬ,53,75,6,2,54,0,31%,84,7,46,55%,5,3,0,СТРОИТЕЛЬ,НОВА
2023,Play Out,САМОТЛОР,НЕФТЯНИК,62,93,26,6,70,2,20%,100,8,45,45%,11,3,1,САМОТЛОР,НЕФТЯНИК
2023,Play Out,НЕФТЯНИК,НОВА,68,96,14,7,68,4,18%,102,9,49,48%,12,3,1,НЕФТЯНИК,НОВА
2023,Play Out,САМОТЛОР,СТРОИТЕЛЬ,56,73,14,7,49,1,29%,72,4,39,54%,10,3,0,САМОТЛОР,СТРОИТЕЛЬ
2023,Play Out,САМОТЛОР,НОВА,61,88,27,7,78,6,24%,113,12,46,41%,8,1,3,НОВА,САМОТЛОР
2023,Play Out,НЕФТЯНИК,СТРОИТЕЛЬ,54,73,14,5,46,2,26%,72,9,38,53%,11,3,0,НЕФТЯНИК,СТРОИТЕЛЬ
2023,Play Out,СТРОИТЕЛЬ,НОВА,49,60,10,3,67,6,30%,92,8,41,45%,5,0,3,НОВА,СТРОИТЕЛЬ
2023,Play Out,НЕФТЯНИК,САМОТЛОР,72,115,23,7,80,9,21%,113,11,53,47%,12,3,2,НЕФТЯНИК,САМОТЛОР
2023,Play Out,СТРОИТЕЛЬ,САМОТЛОР,57,85,15,6,83,9,17%,94,6,41,44%,10,1,3,САМОТЛОР,СТРОИТЕЛЬ
2023,Play Out,НОВА,НЕФТЯНИК,64,98,17,6,58,6,14%,95,8,42,44%,16,3,1,НОВА,НЕФТЯНИК
2023,Play Out,НОВА,САМОТЛОР,57,100,22,6,61,7,20%,90,4,43,48%,8,3,1,НОВА,САМОТЛОР
2023,Play Out,СТРОИТЕЛЬ,НЕФТЯНИК,34,59,13,2,59,5,17%,75,8,26,35%,6,0,3,НЕФТЯНИК,СТРОИТЕЛЬ
2023,Play Out,НОВА,СТРОИТЕЛЬ,55,74,7,6,50,3,30%,84,3,45,54%,4,3,0,НОВА,СТРОИТЕЛЬ
2023,Play Out,САМОТЛОР,НЕФТЯНИК,73,108,28,9,92,7,26%,113,10,55,49%,9,2,3,НЕФТЯНИК,САМОТЛОР
2023,Play Out,САМОТЛОР,СТРОИТЕЛЬ,78,98,15,9,70,6,34%,96,12,57,59%,12,3,1,САМОТЛОР,СТРОИТЕЛЬ
2023,Play Out,НЕФТЯНИК,НОВА,59,85,27,6,81,6,21%,108,7,44,41%,9,1,3,НОВА,НЕФТЯНИК
