Год,Этап,Команда,Противник,Общее количество очков,Общее количество подач,Ошибки при подаче,ЭЙС,Общее количество приемов,Ошибки при приемах,Эффективность приемов,Общее количество атак,Ошибки на атаках,Очки на атаке,Эффективность атак,Очки на блок,Количество выигранных сетов,Количество проигрышных сетов,Победитель,Проигравший
2023,Play Off,ЛОКОМОТИВ,БЕЛОГОРЬЕ,63,73,19,9,50,0,12%,80,5,46,58%,8,3,0,ЛОКОМОТИВ,БЕЛОГОРЬЕ
2023,Play Off,ЗЕНИТ,ДИНАМО ЛО,63,74,8,6,46,1,35%,76,6,47,62%,10,3,0,ЗЕНИТ,ДИНАМО ЛО
2023,Play Off,БЕЛОГОРЬЕ,ЛОКОМОТИВ,40,69,4,4,54,11,11%,69,7,31,45%,5,0,3,ЛОКОМОТИВ,БЕЛОГОРЬЕ
2023,Play Off,АСК,ЗЕНИТ-КАЗАНЬ,40,57,6,3,61,9,18%,84,8,33,39%,4,0,3,ЗЕНИТ-КАЗАНЬ,АСК
2023,Play Off,ФАКЕЛ,ДИНАМО,32,58,13,2,54,4,4%,59,7,23,39%,7,0,3,ДИНАМО,ФАКЕЛ
2023,Play Off,ДИНАМО ЛО,ЗЕНИТ,35,50,4,3,64,8,19%,76,8,29,38%,3,0,3,ЗЕНИТ,ДИНАМО ЛО
2023,Play Off,ДИНАМО,ФАКЕЛ,78,98,17,15,62,3,13%,92,8,55,60%,8,3,1,ДИНАМО,ФАКЕЛ
2023,Play Off,ЗЕНИТ,ДИНАМО ЛО,74,104,15,5,86,7,19%,108,5,53,49%,16,1,3,ДИНАМО ЛО,ЗЕНИТ
2023,Play Off,ЗЕНИТ-КАЗАНЬ,АСК,86,109,30,6,88,6,16%,123,9,72,59%,8,3,2,ЗЕНИТ-КАЗАНЬ,АСК
2023,Play Off,ЛОКОМОТИВ,БЕЛОГОРЬЕ,70,87,17,5,85,8,13%,102,7,55,54%,10,1,3,БЕЛОГОРЬЕ,ЛОКОМОТИВ
2023,Play Off,БЕЛОГОРЬЕ,ЛОКОМОТИВ,31,58,8,0,54,9,15%,68,3,28,41%,3,0,3,ЛОКОМОТИВ,БЕЛОГОРЬЕ
2023,Play Off,ДИНАМО ЛО,ЗЕНИТ,38,53,7,1,66,6,9%,71,5,32,45%,5,0,3,ЗЕНИТ,ДИНАМО ЛО
2023,Play Off,ДИНАМО ,ЗЕНИТ,84,109,21,11,89,10,18%,124,13,62,50%,11,3,2,ДИНАМО,ЗЕНИТ
2023,Play Off,ЗЕНИТ-КАЗАНЬ,ЛОКОМОТИВ,65,94,15,4,71,6,21%,99,6,49,49%,12,3,1,ЗЕНИТ-КАЗАНЬ,ЛОКОМОТИВ
2023,Play Off,ДИНАМО,ЗЕНИТ,57,73,13,8,49,2,14%,79,6,44,56%,5,3,0,ДИНАМО,ЗЕНИТ
2023,Play Off,ЗЕНИТ-КАЗАНЬ,ЛОКОМОТИВ,53,80,11,8,58,5,21%,79,2,36,46%,9,3,0,ЗЕНИТ-КАЗАНЬ,ЛОКОМОТИВ
2023,Play Off,ЛОКОМОТИВ,ЗЕНИТ-КАЗАНЬ,57,76,13,8,54,3,13%,84,2,44,52%,5,3,0,ЛОКОМОТИВ,ЗЕНИТ-КАЗАНЬ
2023,Play Off,ЛОКОМОТИВ,ЗЕНИТ-КАЗАНЬ,72,105,17,7,86,5,10%,118,9,57,48%,8,2,3,ЗЕНИТ-КАЗАНЬ,ЛОКОМОТИВ
2023,Play Off,ЗЕНИТ,ДИНАМО,46,78,15,4,61,1,16%,89,6,39,44%,3,0,3,ДИНАМО,ЗЕНИТ
2023,Play Off,ЗЕНИТ,ДИНАМО ,68,107,18,10,88,11,11%,120,8,49,41%,9,2,3,ДИНАМО,ЗЕНИТ
2023,Play Off,ЛОКОМОТИВ,ЗЕНИТ-КАЗАНЬ,67,90,19,6,79,4,20%,111,11,52,47%,9,1,3,ЗЕНИТ-КАЗАНЬ,ЛОКОМОТИВ
2023,Play Off,ЗЕНИТ,ДИНАМО,41,62,13,2,60,8,12%,78,4,35,45%,4,0,3,ДИНАМО,ЗЕНИТ
2023,Play Off,ЛОКОМОТИВ,ЗЕНИТ-КАЗАНЬ,58,74,16,5,69,8,6%,102,11,45,44%,8,0,3,ЗЕНИТ-КАЗАНЬ,ЛОКОМОТИВ
2023,Play Off,ЗЕНИТ-КАЗАНЬ,ЛОКОМОТИВ,51,67,13,3,63,8,24%,74,6,39,53%,9,0,3,ЛОКОМОТИВ,ЗЕНИТ-КАЗАНЬ
